#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 20:13
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P2VSEL01;Všelibice;01.04.2016;31.12.2023;14.950609;50.648954;392

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Srážkomìr;01.04.2016;31.12.2023;1

PRVEK
Denní úhrn srážek [SRA.07:00, mm]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

Pøíznak;Popis
M;Úhrn mimoøádnì z manuálního srážkomìru
T;Nemìøitelné množství

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
2018;06;3;0;
2018;06;4;0;
2018;06;5;0;
2018;06;6;0;
2018;06;7;0;
2018;06;8;0;
2018;06;9;7.1;
2018;06;10;12;
2018;06;11;17;
2018;06;12;0;T
2018;06;13;1.2;
2018;06;14;0;
2018;06;15;0;
2018;06;16;0;
2018;06;17;0;
2018;06;18;0;
2018;06;19;0;
2018;06;20;0;
2018;06;21;.6;
2018;06;22;4.4;
2018;06;23;3.8;
2018;06;24;2.7;
2018;06;25;0;
2018;06;26;2.2;
2018;06;27;0;
2018;06;28;.5;
2018;06;29;0;
2018;06;30;0;
2018;07;1;0;
2018;07;2;0;
2018;07;3;0;
2018;07;4;0;
2018;07;5;0;
2018;07;6;.3;
2018;07;7;0;
2018;07;8;0;
2018;07;9;0;
2018;07;10;13;
2018;07;11;0;
2018;07;12;7.5;
2018;07;13;1.1;
2018;07;14;0;
2018;07;15;0;
2018;07;16;0;
2018;07;17;0;
2018;07;18;0;
2018;07;19;0;
2018;07;20;0;
2018;07;21;0;
2018;07;22;0;
2018;07;23;0;
2018;07;24;0;
2018;07;25;.1;
2018;07;26;0;
2018;07;27;.1;
2018;07;28;.6;
2018;07;29;0;
2018;07;30;0;
2018;07;31;0;
2018;08;1;0;
2018;08;2;1.3;
2018;08;3;2.4;
2018;08;4;0;
2018;08;5;0;
2018;08;6;0;
2018;08;7;0;
2018;08;8;2;
2018;08;9;1;
2018;08;10;.8;
2018;08;11;.6;
2018;08;12;0;
2018;08;13;1.9;
2018;08;14;0;
2018;08;15;0;
2018;08;16;0;
2018;08;17;0;
2018;08;18;0;
2018;08;19;0;
2018;08;20;0;
2018;08;21;0;
2018;08;22;0;
2018;08;23;1;
2018;08;24;10;
2018;08;25;0;
2018;08;26;0;
2018;08;27;0;
2018;08;28;0;
2018;08;29;0;
2018;08;30;2;
2018;08;31;0;
2018;09;1;9;
2018;09;2;0;
2018;09;3;0;
2018;09;4;0;
2018;09;5;0;
2018;09;6;0;
2018;09;7;0;
2018;09;8;0;
2018;09;9;0;
2018;09;10;0;
2018;09;11;0;
2018;09;12;0;
2018;09;13;0;
2018;09;14;0;
2018;09;15;0;
2018;09;16;0;
2018;09;17;0;
2018;09;18;0;
2018;09;19;0;
2018;09;20;0;
2018;09;21;8.5;
2018;09;22;0;
2018;09;23;19.3;
2018;09;24;4;
2018;09;25;0;
2018;09;26;0;
2018;09;27;0;
2018;09;28;0;
2018;09;29;0;
2018;09;30;0;
2018;10;1;2;
2018;10;2;.2;
2018;10;3;.5;
2018;10;4;0;
2018;10;5;0;
2018;10;6;0;
2018;10;7;0;
2018;10;8;0;
2018;10;9;0;
2018;10;10;0;
2018;10;11;0;
2018;10;12;0;
2018;10;13;0;
2018;10;14;0;
2018;10;15;0;
2018;10;16;0;
2018;10;17;0;
2018;10;18;0;
2018;10;19;0;
2018;10;20;.2;
2018;10;21;0;
2018;10;22;.7;
2018;10;23;23.7;
2018;10;24;4.7;
2018;10;25;3.7;
2018;10;26;.2;
2018;10;27;.7;
2018;10;28;14.6;
2018;10;29;0;
2018;10;30;0;
2018;10;31;0;
2018;11;1;0;
2018;11;2;6.8;
2018;11;3;.2;
2018;11;4;0;
2018;11;5;0;
2018;11;6;0;
2018;11;7;0;
2018;11;8;0;
2018;11;9;0;
2018;11;10;0;
2018;11;11;0;
2018;11;12;0;
2018;11;13;1.4;
2018;11;14;0;
2018;11;15;0;
2018;11;16;0;
2018;11;17;0;
2018;11;18;0;
2018;11;19;0;
2018;11;20;1.1;
2018;11;21;.1;
2018;11;22;.6;
2018;11;23;.3;
2018;11;24;0;
2018;11;25;0;
2018;11;26;0;
2018;11;27;0;
2018;11;28;0;
2018;11;29;0;
2018;11;30;2.3;
2018;12;1;0;
2018;12;2;16;
2018;12;3;4.9;
2018;12;4;.6;
2018;12;5;0;
2018;12;6;1.6;
2018;12;7;4.8;
2018;12;8;3;
2018;12;9;8.6;
2018;12;10;8.8;
2018;12;11;11.3;
2018;12;12;.5;
2018;12;13;0;
2018;12;14;0;
2018;12;15;0;
2018;12;16;0;
2018;12;17;0;
2018;12;18;.4;
2018;12;19;.4;
2018;12;20;5.7;
2018;12;21;13.7;
2018;12;22;6;
2018;12;23;7;
2018;12;24;2;
2018;12;25;.9;
2018;12;26;2.8;
2018;12;27;.1;
2018;12;28;1.8;
2018;12;29;10.8;
2018;12;30;4.1;
2018;12;31;1.4;
2019;01;1;7.7;
2019;01;2;6.2;
2019;01;3;5.2;
2019;01;4;6.8;
2019;01;5;5.4;
2019;01;6;0;
2019;01;7;9.3;
2019;01;8;14;
2019;01;9;10;
2019;01;10;1.4;
2019;01;11;7;
2019;01;12;8.5;
2019;01;13;9.3;
2019;01;14;1.6;
2019;01;15;5.4;
2019;01;16;0;
2019;01;17;1.3;
2019;01;18;.6;
2019;01;19;0;
2019;01;20;0;
2019;01;21;0;
2019;01;22;0;
2019;01;23;0;
2019;01;24;0;
2019;01;25;3.2;
2019;01;26;9;
2019;01;27;0;
2019;01;28;.1;
2019;01;29;1.5;
2019;01;30;0;
2019;01;31;0;
2019;02;1;0;
2019;02;2;2.1;
2019;02;3;3.9;
2019;02;4;0;
2019;02;5;0;
2019;02;6;0;
2019;02;7;1.5;
2019;02;8;0;
2019;02;9;0;
2019;02;10;1.9;
2019;02;11;2.1;
2019;02;12;1.9;
2019;02;13;0;
2019;02;14;0;
2019;02;15;0;
2019;02;16;0;
2019;02;17;0;
2019;02;18;0;
2019;02;19;.6;
2019;02;20;0;
2019;02;21;10.3;
2019;02;22;0;
2019;02;23;0;
2019;02;24;0;
2019;02;25;0;
2019;02;26;0;
2019;02;27;0;
2019;02;28;.8;
2019;03;1;1.7;
2019;03;2;1;
2019;03;3;1;
2019;03;4;.5;
2019;03;5;3.1;
2019;03;6;0;
2019;03;7;0;
2019;03;8;1.7;
2019;03;9;3.1;
2019;03;10;5.3;
2019;03;11;4.2;
2019;03;12;0;
2019;03;13;.9;
2019;03;14;14.2;
2019;03;15;8.1;
2019;03;16;3.4;
2019;03;17;.5;
2019;03;18;1;
2019;03;19;.3;
2019;03;20;0;
2019;03;21;0;
2019;03;22;0;
2019;03;23;0;
2019;03;24;0;
2019;03;25;4.2;
2019;03;26;.3;
2019;03;27;1.6;
2019;03;28;1.7;
2019;03;29;0;
2019;03;30;0;
2019;03;31;0;
2019;04;1;0;
2019;04;2;0;
2019;04;3;0;
2019;04;4;0;
2019;04;5;0;
2019;04;6;0;
2019;04;7;0;
2019;04;8;0;
2019;04;9;0;
2019;04;10;0;
2019;04;11;0;
2019;04;12;0;
2019;04;13;.4;
2019;04;14;0;
2019;04;15;0;
2019;04;16;0;
2019;04;17;0;
2019;04;18;0;
2019;04;19;0;
2019;04;20;0;
2019;04;21;0;
2019;04;22;0;
2019;04;23;0;
2019;04;24;0;
2019;04;25;0;
2019;04;26;3.5;
2019;04;27;.8;
2019;04;28;3.3;
